"state","value"
NA,480602.36999999994
"AC",3.68659602e6
"AL",3.7935397399999993e6
"AM",3.4496493800000004e6
"AP",3.896065120000001e6
"BA",1.648840232e7
"CE",1.009575273e7
"DF",2.3642316900000004e6
"ES",3.8257738000000007e6
"GO",5.97795426e6
"MA",8.32568511e6
"MG",2.105922606e7
"MS",3.6141244800000004e6
"MT",3.2681879799999995e6
"PA",7.9196566099999985e6
"PB",5.235890090000002e6
"PE",1.132917395e7
"PI",4.30209361e6
"PR",1.2088605559999999e7
"RJ",1.731612095e7
"RN",3.7643368099999987e6
"RO",3.6168760899999994e6
"RR",4.2570108100000005e6
"RS",1.3363466049999997e7
"SC",6.430372699999999e6
"SE",3.5576349000000004e6
"SP",2.6500082769999992e7
"TO",3.6609376099999994e6
